,0,1,2
38,서유기 2 - 선리기연,https://movie-phinf.pstatic.net/20111223_77/1324614581048LAc6L_JPEG/movie_image.jpg?type=m203_290_2,['Comedy' 'Action' 'Adventure' 'Fantasy' 'Romance']
39,캐스트 어웨이,https://movie-phinf.pstatic.net/20111222_155/1324482759519Uvkyl_JPEG/movie_image.jpg?type=m203_290_2,['Drama' 'Adventure']
40,집으로...,https://movie-phinf.pstatic.net/20111222_63/1324540806254gYwb8_JPEG/movie_image.jpg?type=m203_290_2,['Drama' 'Family']
41,라푼젤,https://movie-phinf.pstatic.net/20170418_162/1492497182954jDK7m_JPEG/movie_image.jpg?type=m203_290_2,['Animation' 'Comedy' 'Family' 'Fantasy' 'Musical' 'Romance']
42,모노노케 히메,https://movie-phinf.pstatic.net/20111222_63/1324483671210VVU36_JPEG/movie_image.jpg?type=m203_290_2,['Animation' 'Adventure' 'Action']
43,아이언 자이언트,https://movie-phinf.pstatic.net/20111222_283/13245028481272iCUG_JPEG/movie_image.jpg?type=m203_290_2,['Animation' 'SF' 'Action' 'Family']
44,바이센테니얼 맨,https://movie-phinf.pstatic.net/20111221_282/1324470047868yqNUI_JPEG/movie_image.jpg?type=m203_290_2,['SF' 'Drama']
45,쉰들러 리스트,https://movie-phinf.pstatic.net/20111223_162/1324575941891tsVcH_JPEG/movie_image.jpg?type=m203_290_2,['Drama' 'War']
46,프리퀀시,https://movie-phinf.pstatic.net/20111222_144/1324507551715hYCMY_JPEG/movie_image.jpg?type=m203_290_2,['Crime' 'Drama' 'SF' 'Thriller']
47,소원,https://movie-phinf.pstatic.net/20130902_68/1378096688321WUTwq_JPEG/movie_image.jpg?type=m203_290_2,['Drama']
48,굿 윌 헌팅,https://movie-phinf.pstatic.net/20160810_49/14708058043034cuPp_JPEG/movie_image.jpg?type=m203_290_2,['Drama']
49,"지금, 만나러 갑니다",https://movie-phinf.pstatic.net/20180403_286/1522736958040KRAkQ_JPEG/movie_image.jpg?type=m203_290_2,['Romance' 'Drama' 'Fantasy']
50,다크 나이트,https://movie-phinf.pstatic.net/20170608_209/1496886337035SDPLy_JPEG/movie_image.jpg?type=m203_290_2,['Action' 'Crime' 'Drama' 'Mystery']
51,타잔,https://movie-phinf.pstatic.net/20111222_38/1324542328491At0b3_JPEG/movie_image.jpg?type=m203_290_2,['Animation' 'Family' 'Adventure']
52,사랑은 비를 타고,https://movie-phinf.pstatic.net/20111223_95/1324577323974nbaUv_JPEG/movie_image.jpg?type=m203_290_2,['Musical' 'Romance' 'Comedy']
53,코러스,https://movie-phinf.pstatic.net/20171208_286/1512694590425x9EjV_JPEG/movie_image.jpg?type=m203_290_2,['Drama']
54,해리 포터와 죽음의 성물 - 2부,https://movie-phinf.pstatic.net/20111223_74/1324640419980SJD8k_JPEG/movie_image.jpg?type=m203_290_2,['Adventure' 'Fantasy' 'Mystery']
55,모던 타임즈,https://movie-phinf.pstatic.net/20150210_110/1423530446210OeFV1_JPEG/movie_image.jpg?type=m203_290_2,['Comedy']
56,"나, 다니엘 블레이크",https://movie-phinf.pstatic.net/20161117_246/1479344102925C9Ens_JPEG/movie_image.jpg?type=m203_290_2,['Drama']
57,세상에서 가장 아름다운 이별,https://movie-phinf.pstatic.net/20111223_2/13246354120826wuuA_JPEG/movie_image.jpg?type=m203_290_2,['Drama' 'Family']
58,알라딘,https://movie-phinf.pstatic.net/20170418_64/1492495808221lgtrR_JPEG/movie_image.jpg?type=m203_290_2,['Animation' 'Musical' 'Comedy' 'Family' 'Adventure' 'Drama' 'Romance']
59,클레멘타인,https://movie-phinf.pstatic.net/20111222_33/1324533894503h3QAH_JPEG/movie_image.jpg?type=m203_290_2,['Action' 'Drama']
60,더 록,https://movie-phinf.pstatic.net/20111221_286/1324471145026nKaBX_JPEG/movie_image.jpg?type=m203_290_2,['Action']
61,피아니스트,https://movie-phinf.pstatic.net/20150608_292/1433754164299kVDXs_JPEG/movie_image.jpg?type=m203_290_2,['Drama' 'War']
62,스피릿,https://movie-phinf.pstatic.net/20111212_185/1323676168812p6eT5_JPEG/movie_image.jpg?type=m203_290_2,['Animation' 'Western' 'Family']
63,집으로 가는 길,https://movie-phinf.pstatic.net/20111221_73/1324465452839k4iaY_JPEG/movie_image.jpg?type=m203_290_2,['Drama' 'Romance']
64,지상의 별처럼,https://movie-phinf.pstatic.net/20120719_80/13426857031456QQI0_JPEG/movie_image.jpg?type=m203_290_2,['Drama']
65,아이 엠 샘,https://movie-phinf.pstatic.net/20111222_30/1324551355578IOWKU_JPEG/movie_image.jpg?type=m203_290_2,['Drama']
66,천공의 성 라퓨타,https://movie-phinf.pstatic.net/20111222_264/1324541030764uwdKQ_JPEG/movie_image.jpg?type=m203_290_2,['Animation' 'Fantasy' 'Adventure']
67,위대한 독재자,https://movie-phinf.pstatic.net/20150330_89/1427701328897Bu28M_JPEG/movie_image.jpg?type=m203_290_2,['Comedy']
68,오세암,https://movie-phinf.pstatic.net/20111222_125/1324507783843b9gEF_JPEG/movie_image.jpg?type=m203_290_2,['Animation' 'Drama']
69,록키,https://movie-phinf.pstatic.net/20171115_176/1510728216956HOOe1_JPEG/movie_image.jpg?type=m203_290_2,['Drama' 'Action']
70,시네마 천국,https://movie-phinf.pstatic.net/20130911_232/1378878991812QfLTe_JPEG/movie_image.jpg?type=m203_290_2,['Drama' 'Romance']
71,트루먼 쇼,https://movie-phinf.pstatic.net/20111221_90/1324475715537K9Ya9_JPEG/movie_image.jpg?type=m203_290_2,['Comedy' 'Drama' 'SF']
72,블라인드 사이드,https://movie-phinf.pstatic.net/20111223_159/13246089113705W9ps_JPEG/movie_image.jpg?type=m203_290_2,['Drama']
73,일급 살인,https://movie-phinf.pstatic.net/20111222_237/1324564654860kKxJt_JPEG/movie_image.jpg?type=m203_290_2,['Drama' 'Crime']
74,내 이름은 칸,https://movie-phinf.pstatic.net/20111223_154/1324634519508BXcx5_JPEG/movie_image.jpg?type=m203_290_2,['Drama']
75,쥬라기 공원,https://movie-phinf.pstatic.net/20130531_210/13699689765823Nlai_JPEG/movie_image.jpg?type=m203_290_2,['SF' 'Action' 'Adventure']
76,업,https://movie-phinf.pstatic.net/20111223_221/1324590426566npnJd_JPEG/movie_image.jpg?type=m203_290_2,['Animation' 'Family' 'Adventure' 'Comedy' 'Action']
77,나 홀로 집에 2 - 뉴욕을 헤매다,https://movie-phinf.pstatic.net/20111221_101/13244782467487AIcS_JPEG/movie_image.jpg?type=m203_290_2,['Adventure' 'Action' 'Crime' 'Thriller' 'Comedy' 'Family']
78,아기공룡 둘리 - 얼음별 대모험,https://movie-phinf.pstatic.net/20111221_146/1324474085699H3JT7_JPEG/movie_image.jpg?type=m203_290_2,['Animation' 'Family' 'Comedy' 'Adventure' 'Musical']
